"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 16 03:54:05 UTC 2023","Sat Dec 16 03:54:06 UTC 2023","1660","","22. Individual Onboarding for Interactive Brokers","","","","12. Check Final Review",""
"passed","Sat Dec 16 03:18:44 UTC 2023","Sat Dec 16 03:18:58 UTC 2023","13221","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sat Dec 16 02:47:41 UTC 2023","Sat Dec 16 02:47:43 UTC 2023","2582","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sat Dec 16 03:23:08 UTC 2023","Sat Dec 16 03:27:21 UTC 2023","253319","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Sat Dec 16 02:25:58 UTC 2023","Sat Dec 16 02:25:58 UTC 2023","2","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Dec 16 02:27:21 UTC 2023","Sat Dec 16 02:27:46 UTC 2023","25205","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sat Dec 16 03:54:00 UTC 2023","Sat Dec 16 03:54:05 UTC 2023","4816","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Dec 16 03:51:00 UTC 2023","Sat Dec 16 03:51:23 UTC 2023","22842","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Sat Dec 16 03:32:03 UTC 2023","Sat Dec 16 03:32:04 UTC 2023","1022","","20. Admin Portal - Check details","","","","6. Check Account Settings & History (Data Snapshots)",""
"passed","Sat Dec 16 03:53:56 UTC 2023","Sat Dec 16 03:54:00 UTC 2023","3706","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Sat Dec 16 02:40:44 UTC 2023","Sat Dec 16 02:41:00 UTC 2023","15473","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 16 03:18:35 UTC 2023","Sat Dec 16 03:18:39 UTC 2023","3281","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sat Dec 16 02:49:43 UTC 2023","Sat Dec 16 02:50:00 UTC 2023","16720","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sat Dec 16 02:46:46 UTC 2023","Sat Dec 16 02:47:03 UTC 2023","16928","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Dec 16 02:25:16 UTC 2023","Sat Dec 16 02:25:35 UTC 2023","19252","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
